att_id,candidate_cwe,score,rationale,feature_scores
T1055.003,CWE-366,0.2602,boost_common_term:execution,"{""title_sim"": 0.5714285714285715, ""desc_sim"": 0.11229534429137496, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02564102564102564}"
T1055.003,CWE-1423,0.2323,boost_common_term:execution,"{""title_sim"": 0.5142857142857143, ""desc_sim"": 0.07081254997195291, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03361344537815126}"
T1055.003,CWE-1342,0.2270,boost_common_term:execution,"{""title_sim"": 0.5142857142857143, ""desc_sim"": 0.06984583714389077, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008620689655172414}"
T1079,CWE-326,0.3841,boost_common_term:encryption,"{""title_sim"": 0.6451612903225806, ""desc_sim"": 0.36449717060369774, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.15625}"
T1079,CWE-649,0.3088,boost_common_term:encryption,"{""title_sim"": 0.6451612903225806, ""desc_sim"": 0.16351116558523376, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.08108108108108109}"
T1079,CWE-311,0.2482,,"{""title_sim"": 0.6451612903225806, ""desc_sim"": 0.158494281096756, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03571428571428571}"
T1036,CWE-507,0.1548,,"{""title_sim"": 0.41666666666666663, ""desc_sim"": 0.063367169125112, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05405405405405406}"
T1036,CWE-62,0.1471,,"{""title_sim"": 0.3846153846153846, ""desc_sim"": 0.07238299147598055, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1036,CWE-508,0.1409,,"{""title_sim"": 0.38095238095238093, ""desc_sim"": 0.06022998244031279, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04285714285714286}"
T1546.011,CWE-1065,0.3219,boost_common_term:application;boost_subtech_title_match,"{""title_sim"": 0.7096774193548387, ""desc_sim"": 0.0856143207022867, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016666666666666666}"
T1546.011,CWE-926,0.3159,boost_common_term:application;boost_subtech_title_match,"{""title_sim"": 0.7096774193548387, ""desc_sim"": 0.05798566268501851, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.027932960893854747}"
T1546.011,CWE-558,0.2601,boost_subtech_title_match,"{""title_sim"": 0.7096774193548387, ""desc_sim"": 0.05349288118242008, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.005681818181818182}"
T1552,CWE-1391,0.2992,boost_common_term:credentials,"{""title_sim"": 0.7272727272727272, ""desc_sim"": 0.07984127652487492, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03508771929824561}"
T1552,CWE-1392,0.2912,boost_common_term:credentials,"{""title_sim"": 0.6875, ""desc_sim"": 0.09084714671223255, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.038461538461538464}"
T1552,CWE-522,0.2855,boost_common_term:credentials,"{""title_sim"": 0.6875, ""desc_sim"": 0.08568655025327918, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.017857142857142856}"
T1547.010,CWE-605,0.2747,boost_common_term:port,"{""title_sim"": 0.4705882352941177, ""desc_sim"": 0.2522937606185123, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03896103896103896}"
T1547.010,CWE-114,0.1640,,"{""title_sim"": 0.5, ""desc_sim"": 0.038331910487662144, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.012345679012345678}"
T1547.010,CWE-392,0.1554,,"{""title_sim"": 0.4782608695652174, ""desc_sim"": 0.023002480744325038, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.025}"
T1070.008,CWE-182,0.2130,boost_common_term:data,"{""title_sim"": 0.5, ""desc_sim"": 0.03232140061569518, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01652892561983471}"
T1070.008,CWE-1266,0.1959,boost_common_term:data,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.1117984263625308, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.016260162601626018}"
T1070.008,CWE-499,0.1924,boost_common_term:data,"{""title_sim"": 0.41935483870967744, ""desc_sim"": 0.03907105138759905, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02459016393442623}"
T1037.002,CWE-622,0.2181,,"{""title_sim"": 0.5714285714285715, ""desc_sim"": 0.14273731081017904, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.019417475728155338}"
T1037.002,CWE-511,0.1553,,"{""title_sim"": 0.48, ""desc_sim"": 0.031193617491468373, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009615384615384616}"
T1037.002,CWE-507,0.1524,,"{""title_sim"": 0.45454545454545453, ""desc_sim"": 0.034431739638621235, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02830188679245283}"
T1659,CWE-91,0.2838,boost_common_term:content,"{""title_sim"": 0.6923076923076923, ""desc_sim"": 0.07729865146423709, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014814814814814815}"
T1659,CWE-1319,0.2811,boost_common_term:injection,"{""title_sim"": 0.6923076923076923, ""desc_sim"": 0.06750749585507534, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015625}"
T1659,CWE-433,0.2564,boost_common_term:content,"{""title_sim"": 0.5833333333333334, ""desc_sim"": 0.0994879493987649, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.007575757575757576}"
T1055,CWE-1319,0.2843,boost_common_term:injection,"{""title_sim"": 0.6923076923076923, ""desc_sim"": 0.06611634366644856, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03409090909090909}"
T1055,CWE-214,0.2654,boost_common_term:process,"{""title_sim"": 0.5833333333333334, ""desc_sim"": 0.11243936480357626, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03333333333333333}"
T1055,CWE-1334,0.2399,,"{""title_sim"": 0.6923076923076923, ""desc_sim"": 0.08514224859166342, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03333333333333333}"
T1567.004,CWE-1420,0.1852,boost_common_term:over,"{""title_sim"": 0.35294117647058826, ""desc_sim"": 0.07739595395875558, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.030534351145038167}"
T1567.004,CWE-638,0.1699,boost_common_term:over,"{""title_sim"": 0.339622641509434, ""desc_sim"": 0.03546716160348167, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03676470588235294}"
T1567.004,CWE-1422,0.1672,boost_common_term:over,"{""title_sim"": 0.28099173553719015, ""desc_sim"": 0.08938095509408349, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.030534351145038167}"
T1139,CWE-328,0.1475,,"{""title_sim"": 0.42857142857142855, ""desc_sim"": 0.04660355220302979, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024691358024691357}"
T1139,CWE-549,0.1306,,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.06877328327325664, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1139,CWE-501,0.1305,,"{""title_sim"": 0.38888888888888884, ""desc_sim"": 0.03465368973119552, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.017241379310344827}"
T1205,CWE-605,0.1646,,"{""title_sim"": 0.29166666666666674, ""desc_sim"": 0.23236569951210254, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03684210526315789}"
T1205,CWE-294,0.1633,boost_common_term:traffic,"{""title_sim"": 0.25, ""desc_sim"": 0.10769909794642434, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0297029702970297}"
T1205,CWE-1061,0.1607,,"{""title_sim"": 0.46511627906976744, ""desc_sim"": 0.057688288843172356, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.019230769230769232}"
T1021.008,CWE-245,0.3585,boost_common_term:connections;boost_subtech_title_match,"{""title_sim"": 0.8, ""desc_sim"": 0.106105843944083, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03333333333333333}"
T1021.008,CWE-1327,0.1857,boost_common_term:cloud,"{""title_sim"": 0.34375, ""desc_sim"": 0.08742921649918296, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.031914893617021274}"
T1021.008,CWE-1230,0.1658,boost_common_term:direct,"{""title_sim"": 0.31168831168831174, ""desc_sim"": 0.053643592057500945, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.030927835051546393}"
T1503,CWE-1391,0.3216,boost_common_term:credentials,"{""title_sim"": 0.7307692307692308, ""desc_sim"": 0.14107833791974084, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1503,CWE-1392,0.2881,boost_common_term:credentials,"{""title_sim"": 0.6181818181818182, ""desc_sim"": 0.15110691664423, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0364963503649635}"
T1503,CWE-798,0.2846,boost_common_term:credentials,"{""title_sim"": 0.6551724137931035, ""desc_sim"": 0.10712781400146662, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02962962962962963}"
T1218,CWE-1423,0.2107,boost_common_term:execution,"{""title_sim"": 0.4736842105263158, ""desc_sim"": 0.0365393212813572, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0379746835443038}"
T1218,CWE-1342,0.2101,boost_common_term:execution,"{""title_sim"": 0.4736842105263158, ""desc_sim"": 0.05101398694778494, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.013333333333333334}"
T1218,CWE-15,0.2077,boost_common_term:system,"{""title_sim"": 0.475, ""desc_sim"": 0.04101794662673857, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014492753623188406}"
T1153,CWE-1115,0.4131,boost_common_term:source,"{""title_sim"": 1.0, ""desc_sim"": 0.15637289827560924, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.08108108108108109}"
T1153,CWE-540,0.3979,boost_common_term:source,"{""title_sim"": 1.0, ""desc_sim"": 0.12361186078754005, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05405405405405406}"
T1153,CWE-1078,0.3958,boost_common_term:source,"{""title_sim"": 1.0, ""desc_sim"": 0.11624615438959456, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0547945205479452}"
T1038,CWE-426,0.2195,boost_common_term:search,"{""title_sim"": 0.46808510638297873, ""desc_sim"": 0.07528443318792359, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03225806451612903}"
T1038,CWE-427,0.2130,boost_common_term:search,"{""title_sim"": 0.4482758620689655, ""desc_sim"": 0.07950540940440796, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0234375}"
T1038,CWE-428,0.2082,boost_common_term:search,"{""title_sim"": 0.4210526315789474, ""desc_sim"": 0.08016342811933347, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03937007874015748}"
T1050,CWE-439,0.2041,boost_common_term:new,"{""title_sim"": 0.42857142857142855, ""desc_sim"": 0.07607315378912362, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0136986301369863}"
T1050,CWE-620,0.1812,boost_common_term:new,"{""title_sim"": 0.3783783783783784, ""desc_sim"": 0.032488199251751594, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.039473684210526314}"
T1050,CWE-416,0.1715,boost_common_term:new,"{""title_sim"": 0.32, ""desc_sim"": 0.05690426466771084, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.042105263157894736}"
T1070.006,CWE-284,0.1230,,"{""title_sim"": 0.375, ""desc_sim"": 0.024761171293050072, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015151515151515152}"
T1070.006,CWE-377,0.1211,,"{""title_sim"": 0.3125, ""desc_sim"": 0.07096603532881157, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.030303030303030304}"
T1070.006,CWE-511,0.1202,,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.05298272433493812, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.021739130434782608}"
T1557.004,CWE-197,0.1178,,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.01997082421066112, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.013605442176870748}"
T1557.004,CWE-270,0.1170,,"{""title_sim"": 0.38095238095238093, ""desc_sim"": 0.008996797207399022, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1557.004,CWE-912,0.1127,,"{""title_sim"": 0.3448275862068965, ""desc_sim"": 0.02644584304440951, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.006535947712418301}"
T1620,CWE-561,0.2534,boost_common_term:code,"{""title_sim"": 0.6153846153846154, ""desc_sim"": 0.05719983469550167, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008333333333333333}"
T1620,CWE-508,0.2402,boost_common_term:code,"{""title_sim"": 0.5283018867924528, ""desc_sim"": 0.07895039522522669, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04032258064516129}"
T1620,CWE-1120,0.2218,boost_common_term:code,"{""title_sim"": 0.5, ""desc_sim"": 0.06725027420564222, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008333333333333333}"
T1016.002,CWE-208,0.1348,,"{""title_sim"": 0.40909090909090906, ""desc_sim"": 0.025722610519244668, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.021739130434782608}"
T1016.002,CWE-257,0.1292,,"{""title_sim"": 0.3214285714285714, ""desc_sim"": 0.06928599958451569, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.06}"
T1016.002,CWE-385,0.1267,,"{""title_sim"": 0.38888888888888884, ""desc_sim"": 0.01840677451900654, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022556390977443608}"
T1480.002,CWE-248,0.1680,,"{""title_sim"": 0.5294117647058824, ""desc_sim"": 0.022953779327760607, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.011494252873563218}"
T1480.002,CWE-674,0.1477,,"{""title_sim"": 0.4736842105263158, ""desc_sim"": 0.011970214905176121, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.010101010101010102}"
T1480.002,CWE-627,0.1475,,"{""title_sim"": 0.4186046511627907, ""desc_sim"": 0.04527228147382971, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.041666666666666664}"
T1564.011,CWE-114,0.2561,boost_subtech_title_match,"{""title_sim"": 0.6363636363636364, ""desc_sim"": 0.10010250267712152, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02564102564102564}"
T1564.011,CWE-214,0.2264,boost_common_term:process,"{""title_sim"": 0.4634146341463415, ""desc_sim"": 0.09570891068896933, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.043478260869565216}"
T1564.011,CWE-20,0.1949,boost_common_term:process,"{""title_sim"": 0.4, ""desc_sim"": 0.05445012152798328, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.042735042735042736}"
T1611,CWE-297,0.2306,boost_common_term:host,"{""title_sim"": 0.4444444444444444, ""desc_sim"": 0.14869376734792886, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.013333333333333334}"
T1611,CWE-150,0.1874,boost_common_term:escape,"{""title_sim"": 0.32, ""desc_sim"": 0.12963680770867297, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.012345679012345678}"
T1611,CWE-605,0.1505,,"{""title_sim"": 0.4, ""desc_sim"": 0.08338247162824042, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.027210884353741496}"
T1518.002,CWE-530,0.1952,boost_common_term:backup,"{""title_sim"": 0.3870967741935484, ""desc_sim"": 0.07851913151378405, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0273972602739726}"
T1518.002,CWE-1256,0.1822,,"{""title_sim"": 0.48484848484848486, ""desc_sim"": 0.09247313099252097, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0449438202247191}"
T1518.002,CWE-1247,0.1781,boost_common_term:software,"{""title_sim"": 0.3544303797468355, ""desc_sim"": 0.05644832037524529, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024096385542168676}"
T1547.009,CWE-473,0.3117,boost_common_term:modification;boost_subtech_title_match,"{""title_sim"": 0.7272727272727272, ""desc_sim"": 0.032721559249499335, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018691588785046728}"
T1547.009,CWE-64,0.2793,boost_common_term:shortcut,"{""title_sim"": 0.5517241379310345, ""desc_sim"": 0.18770216290114977, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.037383177570093455}"
T1547.009,CWE-915,0.2698,boost_subtech_title_match,"{""title_sim"": 0.7272727272727272, ""desc_sim"": 0.05940516324725484, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01904761904761905}"
T1010,CWE-1065,0.2451,boost_common_term:application,"{""title_sim"": 0.5641025641025641, ""desc_sim"": 0.06915586823152507, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02564102564102564}"
T1010,CWE-926,0.2370,boost_common_term:application,"{""title_sim"": 0.5641025641025641, ""desc_sim"": 0.04250157945776278, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02531645569620253}"
T1010,CWE-67,0.2228,boost_common_term:application,"{""title_sim"": 0.463768115942029, ""desc_sim"": 0.06742445852521538, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.06741573033707865}"
T1569.003,CWE-360,0.1273,,"{""title_sim"": 0.4, ""desc_sim"": 0.01074710468728556, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02040816326530612}"
T1569.003,CWE-512,0.1196,,"{""title_sim"": 0.375, ""desc_sim"": 0.01386119850917578, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014492753623188406}"
T1569.003,CWE-617,0.1139,,"{""title_sim"": 0.3571428571428571, ""desc_sim"": 0.01145412839484378, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01639344262295082}"
T1032,CWE-325,0.3128,boost_common_term:cryptographic,"{""title_sim"": 0.6666666666666665, ""desc_sim"": 0.1683753733798241, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.061224489795918366}"
T1032,CWE-327,0.2885,boost_common_term:cryptographic,"{""title_sim"": 0.5909090909090909, ""desc_sim"": 0.1731236739258422, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.046511627906976744}"
T1032,CWE-1240,0.2723,boost_common_term:cryptographic,"{""title_sim"": 0.5909090909090909, ""desc_sim"": 0.13662070256355166, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02}"
T1087.003,CWE-645,0.3160,boost_common_term:account;boost_subtech_title_match,"{""title_sim"": 0.7, ""desc_sim"": 0.05117155333296272, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05333333333333334}"
T1087.003,CWE-322,0.1446,,"{""title_sim"": 0.3272727272727273, ""desc_sim"": 0.14421360686239135, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.015625}"
T1087.003,CWE-1263,0.1422,,"{""title_sim"": 0.4444444444444444, ""desc_sim"": 0.020225072369117483, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.014084507042253521}"
T1062,CWE-507,0.1287,,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.03714584045172148, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04225352112676056}"
T1062,CWE-697,0.1230,,"{""title_sim"": 0.4, ""desc_sim"": 0.010043360602972553, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1062,CWE-413,0.1226,,"{""title_sim"": 0.4, ""desc_sim"": 0.008687625649048493, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1497.003,CWE-511,0.2303,boost_common_term:time,"{""title_sim"": 0.4375, ""desc_sim"": 0.13604356698279668, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0410958904109589}"
T1497.003,CWE-385,0.2202,boost_common_term:time,"{""title_sim"": 0.4736842105263158, ""desc_sim"": 0.06736428105806833, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.039473684210526314}"
T1497.003,CWE-367,0.2025,boost_common_term:checks,"{""title_sim"": 0.36363636363636365, ""desc_sim"": 0.11720898313488048, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0410958904109589}"
T1182,CWE-667,0.1338,,"{""title_sim"": 0.42857142857142855, ""desc_sim"": 0.0174154169641848, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0}"
T1182,CWE-416,0.1274,,"{""title_sim"": 0.3846153846153846, ""desc_sim"": 0.032690957518704225, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.010869565217391304}"
T1182,CWE-20,0.1231,,"{""title_sim"": 0.32432432432432434, ""desc_sim"": 0.06759739429829623, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.0273972602739726}"
T1218.003,CWE-114,0.0820,,"{""title_sim"": 0.2, ""desc_sim"": 0.039880624523045416, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05}"
T1218.003,CWE-756,0.0637,,"{""title_sim"": 0.2, ""desc_sim"": 0.005799011030051515, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009900990099009901}"
T1218.003,CWE-512,0.0635,,"{""title_sim"": 0.1666666666666667, ""desc_sim"": 0.015137785528051636, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.044642857142857144}"
T1563.001,CWE-384,0.1782,,"{""title_sim"": 0.41379310344827586, ""desc_sim"": 0.14906218575101757, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.04672897196261682}"
T1563.001,CWE-564,0.1381,,"{""title_sim"": 0.4324324324324324, ""desc_sim"": 0.021948518011530496, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.00909090909090909}"
T1563.001,CWE-613,0.1243,,"{""title_sim"": 0.3181818181818181, ""desc_sim"": 0.09018650512246348, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009174311926605505}"
T1562.002,CWE-778,0.2465,"boost_common_term:event,logging","{""title_sim"": 0.5185185185185186, ""desc_sim"": 0.12145592223212259, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022727272727272728}"
T1562.002,CWE-67,0.2221,boost_common_term:windows,"{""title_sim"": 0.4857142857142857, ""desc_sim"": 0.05975486783278102, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.042328042328042326}"
T1562.002,CWE-360,0.2188,boost_common_term:event,"{""title_sim"": 0.43636363636363634, ""desc_sim"": 0.11433715417925482, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01775147928994083}"
T1029,CWE-1075,0.2695,boost_common_term:transfer,"{""title_sim"": 0.6153846153846154, ""desc_sim"": 0.090495950672038, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.038461538461538464}"
T1029,CWE-669,0.2659,boost_common_term:transfer,"{""title_sim"": 0.6153846153846154, ""desc_sim"": 0.08085431838753872, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.03508771929824561}"
T1029,CWE-514,0.2109,boost_common_term:transfer,"{""title_sim"": 0.375, ""desc_sim"": 0.10801450314933184, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.08}"
T1021.002,CWE-40,0.1927,boost_common_term:windows,"{""title_sim"": 0.40506329113924056, ""desc_sim"": 0.04916409671277729, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.032}"
T1021.002,CWE-64,0.1829,boost_common_term:windows,"{""title_sim"": 0.3859649122807018, ""desc_sim"": 0.042232034841403455, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022058823529411766}"
T1021.002,CWE-67,0.1789,boost_common_term:windows,"{""title_sim"": 0.3692307692307692, ""desc_sim"": 0.04139240743421556, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.028368794326241134}"
T1525,CWE-1244,0.2263,boost_common_term:internal,"{""title_sim"": 0.5333333333333333, ""desc_sim"": 0.047942280451344105, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.009523809523809525}"
T1525,CWE-45,0.2220,boost_common_term:internal,"{""title_sim"": 0.5333333333333333, ""desc_sim"": 0.028048044570072046, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018018018018018018}"
T1525,CWE-164,0.2214,boost_common_term:internal,"{""title_sim"": 0.5333333333333333, ""desc_sim"": 0.025631354059040577, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.018518518518518517}"
T1572,CWE-301,0.2061,,"{""title_sim"": 0.6153846153846154, ""desc_sim"": 0.06627073565411228, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008264462809917356}"
T1572,CWE-188,0.1746,boost_common_term:protocol,"{""title_sim"": 0.33333333333333326, ""desc_sim"": 0.07101402688423383, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.01652892561983471}"
T1572,CWE-353,0.1594,boost_common_term:protocol,"{""title_sim"": 0.2641509433962264, ""desc_sim"": 0.0659216555864241, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.05172413793103448}"
T1218.002,CWE-691,0.3180,boost_common_term:control;boost_subtech_title_match,"{""title_sim"": 0.7, ""desc_sim"": 0.06357566029395655, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.044444444444444446}"
T1218.002,CWE-529,0.3171,boost_common_term:control;boost_subtech_title_match,"{""title_sim"": 0.7, ""desc_sim"": 0.07551086393458056, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022058823529411766}"
T1218.002,CWE-73,0.3141,boost_common_term:control;boost_subtech_title_match,"{""title_sim"": 0.7, ""desc_sim"": 0.0655087756128768, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.022388059701492536}"
T1599.001,CWE-1331,0.2339,boost_common_term:network,"{""title_sim"": 0.46, ""desc_sim"": 0.10673822947916527, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.06923076923076923}"
T1599.001,CWE-562,0.2309,boost_common_term:address,"{""title_sim"": 0.5217391304347826, ""desc_sim"": 0.06537352723246362, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.023622047244094488}"
T1599.001,CWE-291,0.2237,boost_common_term:address,"{""title_sim"": 0.48717948717948717, ""desc_sim"": 0.08608479551275494, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.008403361344537815}"
T1608.002,CWE-434,0.3307,boost_common_term:upload;boost_subtech_title_match,"{""title_sim"": 0.7058823529411765, ""desc_sim"": 0.11176141926446168, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.02702702702702703}"
T1608.002,CWE-1249,0.1810,,"{""title_sim"": 0.5333333333333333, ""desc_sim"": 0.05387679393425118, ""kw_tactic_jaccard"": 0.0, ""mitigation_overlap"": 0.024390243902439025}"
